total-place,gender-place,name,time,diff
,133,"Kallin, Alicia (SWE)",06:53:21,+02:30:15
,134,"Fossgård, Ingvild (NOR)",06:54:08,+02:31:02
,135,"Johansson, Camilla (SWE)",06:57:07,+02:34:01
,136,"Ednarsson, Olivia (SWE)",06:57:43,+02:34:37
,137,"Svensson, Klara (SWE)",06:57:55,+02:34:49
,138,"Lall, Anna Kajsa (FIN)",06:57:57,+02:34:51
,139,"Essenholm, Sofia (SWE)",06:59:32,+02:36:26
,140,"Burström, Lovisa (SWE)",06:59:43,+02:36:37
,141,"Hajkova, Eliska (CZE)",06:59:59,+02:36:53
,142,"Mattsson, Anna (SWE)",07:00:41,+02:37:35
,143,"Fredriksson Bohm, Magdalena (SWE)",07:01:34,+02:38:28
,144,"Egger, Martina (AUT)",07:02:10,+02:39:04
,145,"Patini, Asia (ITA)",07:02:59,+02:39:53
,146,"Nilsson, Anna (SWE)",07:03:14,+02:40:08
,147,"Ljungberg, Ann (SWE)",07:03:15,+02:40:09
,148,"Haupt, Kerstin (SWE)",07:03:24,+02:40:18
,149,"Beijersten, Caroline (SWE)",07:03:39,+02:40:33
,150,"Bergmansson, Camilla (SWE)",07:04:31,+02:41:25
,151,"Björkman, Maria (FIN)",07:04:47,+02:41:41
,152,"Allik, Ann-Christine (EST)",07:05:21,+02:42:15
,153,"Walberg, Sofia (SWE)",07:05:26,+02:42:20
,154,"Davidsson, Julia (SWE)",07:05:47,+02:42:41
,155,"Holt, Kristin (NOR)",07:06:13,+02:43:07
,156,"Pfeiffer, Steffi (GER)",07:06:14,+02:43:08
,157,"Björklund, Ronja (SWE)",07:07:17,+02:44:11
,158,"Lintukangas, Anneli (FIN)",07:07:53,+02:44:47
,159,"Wallin, Louise (SWE)",07:08:13,+02:45:07
,160,"Segerberg, Ingrid (SWE)",07:09:27,+02:46:21
,161,"Rask, Jonna (FIN)",07:09:28,+02:46:22
,162,"Winberg Olsen, Lise (SWE)",07:09:44,+02:46:38
,163,"Bladh, Greta (SWE)",07:10:43,+02:47:37
,164,"Østeraas, Terese (NOR)",07:11:00,+02:47:54
,165,"Wärme, Carina (SWE)",07:11:12,+02:48:06
,166,"Hugg, Annika (SWE)",07:11:48,+02:48:42
,167,"Sundström, Johanna (SWE)",07:12:05,+02:48:59
,168,"Johanson, Elin (SWE)",07:12:14,+02:49:08
,169,"Baum, Anette (EST)",07:12:20,+02:49:14
,170,"Hamnered, Malin (SWE)",07:12:35,+02:49:29
,171,"Gahne, Ingela (SWE)",07:12:51,+02:49:45
,172,"Lindberg, Sara (SWE)",07:13:22,+02:50:16
,173,"Bretzeg, Ingvild (NOR)",07:13:35,+02:50:29
,174,"Pålsson, Gabriella (SWE)",07:13:51,+02:50:45
,175,"Johansson, Anna (SWE)",07:14:01,+02:50:55
,176,"Sömskar, Johanna (SWE)",07:14:13,+02:51:07
,177,"Bodén, Stina (SWE)",07:15:07,+02:52:01
,178,"Pers, Margareta (SWE)",07:15:09,+02:52:03
,179,"Bodin, Sofia (SWE)",07:15:18,+02:52:12
,180,"Pettersson, Emma (SWE)",07:15:31,+02:52:25
,181,"Håkonsen, Ingeborg (SWE)",07:16:20,+02:53:14
,182,"Backén, Emma (SWE)",07:16:51,+02:53:45
,183,"Svanborg, Erika (SWE)",07:17:01,+02:53:55
,184,"Bäck, Åsa (SWE)",07:17:13,+02:54:07
,185,"Hallemark, Maria (SWE)",07:17:22,+02:54:16
,186,"Grip, Jenny (SWE)",07:17:26,+02:54:20
,187,"Mischke, Elisa (GER)",07:18:04,+02:54:58
,188,"Torlén Wennlund, Klara (SWE)",07:18:30,+02:55:24
,189,"Salton, Cristina (ITA)",07:18:31,+02:55:25
,190,"Verbrugghe, Florine (FRA)",07:18:35,+02:55:29
,191,"Rye Madsen, Anne (DEN)",07:18:35,+02:55:29
,192,"Holmvassdal, Gøril (NOR)",07:18:42,+02:55:36
,193,"Valterova, Adela (CZE)",07:18:53,+02:55:47
,194,"Runfors, Camilla (SWE)",07:18:59,+02:55:53
,195,"Tørnby, Pauline (NOR)",07:19:06,+02:56:00
,196,"Kengo, Veronica (FIN)",07:19:38,+02:56:32
,197,"Henriksson, Filippa (SWE)",07:20:12,+02:57:06
,198,"Widén, Carina (SWE)",07:21:38,+02:58:32
,199,"Mårtensson, Annika (SWE)",07:22:55,+02:59:49
,200,"Holmner, Magdalena (SWE)",07:24:24,+03:01:18
,201,"Törnelius, Helena (SWE)",07:24:35,+03:01:29
,202,"Brudin, Emelie (SWE)",07:24:46,+03:01:40
,203,"Sjölander, Elin (SWE)",07:24:57,+03:01:51
,204,"Söderlind, Johanna (SWE)",07:25:10,+03:02:04
,205,"Klemencic, Nina (SLO)",07:25:53,+03:02:47
,206,"Kubinova, Eliska (CZE)",07:25:59,+03:02:53
,207,"Svensson, Lovisa (SWE)",07:26:18,+03:03:12
,208,"Björklind, Ingrid (SWE)",07:26:41,+03:03:35
,209,"von Essen, Fredrika (SWE)",07:27:01,+03:03:55
,210,"Markussen, Lotte Jauhojärvi (DEN)",07:28:51,+03:05:45
,211,"Stenbacka, Emma (FIN)",07:29:00,+03:05:54
,212,"Reponen, Milka (FIN)",07:29:17,+03:06:11
,213,"Kleggetveit, Solvor (NOR)",07:29:21,+03:06:15
,214,"Lindberg, Emma (SWE)",07:29:36,+03:06:30
,215,"Sundin, Erika (SWE)",07:29:51,+03:06:45
,216,"Hoffer, Carmen (SUI)",07:30:03,+03:06:57
,217,"Nones, Rita (ITA)",07:30:26,+03:07:20
,218,"Weikard, Annika (GER)",07:30:56,+03:07:50
