total-place,gender-place,name,time,diff
,150,"Lindberg, Robert (SWE)",04:37:17,+44:34
,151,"Jonsson, Simon (SWE)",04:37:43,+45:00
,152,"Wiksten, Isidor (SWE)",04:38:03,+45:20
,153,"Andersson, Waldemar (SWE)",04:38:07,+45:24
,154,"Kjonerud, Kristian A (NOR)",04:38:15,+45:32
,155,"Hella, Eirik (NOR)",04:38:22,+45:39
,156,"Elmersson, Emanuel (SWE)",04:38:43,+46:00
,157,"Josefsson, Johannes (SWE)",04:38:44,+46:01
,158,"Mich, Riccardo (ITA)",04:38:53,+46:10
,159,"Barrefors, Jesper (SWE)",04:38:56,+46:13
,160,"Jensen, Håkon Trolldalen (NOR)",04:39:00,+46:17
,161,"Lenz, Jonas (SWE)",04:39:03,+46:20
,162,"Mäkelä, Ville (FIN)",04:39:08,+46:25
,163,"Persson, Olof (SWE)",04:39:16,+46:33
,164,"Wenger, Gianluca (SUI)",04:40:14,+47:31
,165,"Andresen, Mathias Øivind (NOR)",04:41:04,+48:21
,166,"Holm, David (SWE)",04:41:05,+48:22
,167,"Sundell, Per Henrik (SWE)",04:41:05,+48:22
,168,"Kaukola, Tuomas (FIN)",04:41:07,+48:24
,169,"Björnlinger, Joel (SWE)",04:41:24,+48:41
,170,"Hallin, Rikard (SWE)",04:41:34,+48:51
,171,"Hindér, Gustav (SWE)",04:41:38,+48:55
,172,"Berg, Nils (NOR)",04:41:47,+49:04
,173,"Hedbys, Jonathan (SWE)",04:41:56,+49:13
,174,"Kveseth, Ole Harald L. (NOR)",04:42:43,+50:00
,175,"Grudd, Christoffer (SWE)",04:42:46,+50:03
,176,"Steinsland, Gjermund (NOR)",04:42:48,+50:05
,177,"Rosvall, Martin (SWE)",04:42:49,+50:06
,178,"Wanvik, Kristian (NOR)",04:42:49,+50:06
,179,"Sogn-Larssen, Lauritz (NOR)",04:42:49,+50:06
,180,"Malmgren, Robert (SWE)",04:42:54,+50:11
,181,"Rohr, Adam (SWE)",04:42:55,+50:12
,182,"Wennblom, Björn (SWE)",04:42:55,+50:12
,183,"Svahn, Per-Olov (SWE)",04:42:56,+50:13
,184,"Berthagen, Andreas (SWE)",04:42:56,+50:13
,185,"Vesteraas, Marius Viken (NOR)",04:43:03,+50:20
,186,"Sjursen, Mikkel (NOR)",04:43:13,+50:30
,187,"Busin, Emanuele (ITA)",04:43:20,+50:37
,188,"Hartig, Tobias (GER)",04:43:22,+50:39
,189,"Jensen, Mats Kobbersletten (NOR)",04:43:50,+51:07
,190,"Andersson, Andreas (SWE)",04:44:27,+51:44
,191,"Fjellvang, Johan Olrud (NOR)",04:44:33,+51:50
,192,"Jorde, Erik Ola (NOR)",04:44:59,+52:16
,193,"Lundh, Andreas (SWE)",04:45:00,+52:17
,194,"Lagerskog, John (SWE)",04:45:00,+52:17
,195,"Sörensson, Anders (SWE)",04:45:03,+52:20
,196,"Nygård, André (SWE)",04:45:07,+52:24
,197,"Vank, Michal (CZE)",04:45:10,+52:27
,198,"Roos, Henri (EST)",04:45:37,+52:54
,199,"Žížala, Josef (CZE)",04:45:41,+52:58
,200,"Niva, Bernt (SWE)",04:45:41,+52:58
,201,"Nylund, Matias (FIN)",04:45:47,+53:04
,202,"Grannas, Christian (FIN)",04:46:09,+53:26
,203,"Steimert, Claes (SWE)",04:46:27,+53:44
,204,"Oppedal, Matias (NOR)",04:46:29,+53:46
,205,"Hesselberg Indby, Ivar (NOR)",04:46:42,+53:59
,206,"Hoenderop, Rick (NED)",04:46:52,+54:09
,207,"Sandholt, Ola (NOR)",04:46:55,+54:12
,208,"Nilsson, Jesper (SWE)",04:46:56,+54:13
,209,"Karlsson, Pontus (SWE)",04:47:18,+54:35
,210,"Louvrier, Emilien (FRA)",04:47:29,+54:46
,211,"Brundin, Robert (SWE)",04:47:40,+54:57
,212,"Vik Holmestad, Ola (NOR)",04:47:45,+55:02
,213,"Svensson, Andreas (SWE)",04:48:15,+55:32
,214,"Hedlund, Anton (SWE)",04:48:15,+55:32
,215,"Stengrundet, Tore (NOR)",04:48:20,+55:37
,216,"Näslund, Edvin (SWE)",04:48:42,+55:59
,217,"Georgsson, Kalle (SWE)",04:48:46,+56:03
,218,"Nygård Snellingen, Ola (NOR)",04:49:04,+56:21
,219,"Kitch, James (NOR)",04:49:17,+56:34
,220,"Hägglund, Niclas (SWE)",04:49:22,+56:39
,221,"Näslund, Matti (SWE)",04:49:29,+56:46
,222,"Olsson, Fredrik (SWE)",04:49:32,+56:49
,223,"Owren, Erling Nyborg (NOR)",04:49:38,+56:55
,224,"Karlsson, Isac (SWE)",04:49:39,+56:56
,225,"Ullman, Marcus (SWE)",04:49:48,+57:05
,226,"Kanto, Johan (SWE)",04:49:52,+57:09
,227,"Netzel Look, Marcus (SWE)",04:49:55,+57:12
,228,"Olofsson, David (SWE)",04:49:58,+57:15
,229,"Lundgren, Martin (SWE)",04:49:59,+57:16
,230,"Belingheri, Pierre (FRA)",04:50:02,+57:19
,231,"Hållström, Erik (SWE)",04:50:04,+57:21
,232,"Jacobsson, Filip (SWE)",04:50:07,+57:24
,233,"Af Geijerstam, Lukas (SWE)",04:50:09,+57:26
,234,"Lindberg, Johan (SWE)",04:50:21,+57:38
,235,"Olsson, Joakim (SWE)",04:50:27,+57:44
,236,"Friedl, Christoph (GER)",04:50:35,+57:52
,237,"Vilhelmsson, Patric (SWE)",04:50:39,+57:56
,238,"Persson, Petter (SWE)",04:50:46,+58:03
,239,"Zanotto, Stefano (ITA)",04:50:57,+58:14
,240,"Francke, Michal (CZE)",04:51:20,+58:37
,241,"Jansson Saadio, Sebastian (SWE)",04:51:25,+58:42
,242,"Larsson, Johan (SWE)",04:51:27,+58:44
,243,"Österberg, Niklas (SWE)",04:51:36,+58:53
,244,"Danielsson, Theodor (SWE)",04:51:39,+58:56
,245,"Herbst, Carl Johan (SWE)",04:51:40,+58:57
,246,"Vartdal, Ludvig (NOR)",04:52:02,+59:19
,247,"Larson, Daniel (SWE)",04:52:19,+59:36
,248,"Siegel, Jonas (GER)",04:52:34,+59:51
,249,"Fanton, Paolo (ITA)",04:52:42,+59:59
,250,"Moxnes, Ole Petter Dirdal (NOR)",04:52:44,+01:00:01
,251,"Nævestad, Morten (NOR)",04:53:05,+01:00:22
,252,"Slettum, Erik (NOR)",04:53:11,+01:00:28
,253,"Löf, Ronnie (SWE)",04:53:13,+01:00:30
,254,"Degerfeldt, Andreas (SWE)",04:53:15,+01:00:32
,255,"Kaiv, Taavi (EST)",04:53:21,+01:00:38
,256,"Areskoug, Mårten (SWE)",04:53:21,+01:00:38
,257,"Gustafsson, Fredrik (SWE)",04:53:22,+01:00:39
,258,"Tollefsen, Roy-Arne (NOR)",04:54:02,+01:01:19
,259,"Elmose, Sune (DEN)",04:54:04,+01:01:21
,260,"Melsa, Zdenek (CZE)",04:54:07,+01:01:24
,261,"Larsson, Robin (SWE)",04:54:08,+01:01:25
,262,"Klang, Marcus (SWE)",04:54:09,+01:01:26
,263,"Samuelsson, Johan (SWE)",04:54:18,+01:01:35
,264,"Ek, Kristian (SWE)",04:54:23,+01:01:40
,265,"Løchen, Morten (NOR)",04:54:24,+01:01:41
,266,"Molva, František (CZE)",04:54:30,+01:01:47
,267,"Liukkonen, Kalle (FIN)",04:54:33,+01:01:50
,268,"Bækken, Aadne (NOR)",04:54:37,+01:01:54
,269,"Kouva, Markku (FIN)",04:54:50,+01:02:07
,270,"Jacquot, Corentin (FRA)",04:55:08,+01:02:25
,271,"Ottosson, Gustav (SWE)",04:55:21,+01:02:38
,272,"Sagvold, Petter (NOR)",04:55:22,+01:02:39
,273,"Åkesson Forsman, Morgan (SWE)",04:55:32,+01:02:49
,274,"Nilsson, Isak (SWE)",04:55:40,+01:02:57
,275,"Larsson, Simon (SWE)",04:55:57,+01:03:14
,276,"Lind, Patrik (SWE)",04:55:59,+01:03:16
,277,"Unger, Philipp (GER)",04:56:01,+01:03:18
,278,"Bengtsson, Simon (SWE)",04:56:06,+01:03:23
,279,"Rönnmark, Henrik (SWE)",04:56:11,+01:03:28
,280,"Savastver, Alar (EST)",04:56:19,+01:03:36
,281,"Capelli, Marino (SUI)",04:56:39,+01:03:56
,282,"Norder, Jonathan (SWE)",04:56:40,+01:03:57
,283,"Rautio, Johannes (SWE)",04:56:41,+01:03:58
,284,"Jouannon, Nathan (FRA)",04:56:48,+01:04:05
,285,"Johansson, Christoffer (SWE)",04:56:48,+01:04:05
,286,"Riise, Johnny (NOR)",04:56:48,+01:04:05
,287,"Ehl, Jaroslav (CZE)",04:56:57,+01:04:14
,288,"Jonsson, Patrik (SWE)",04:57:01,+01:04:18
