total-place,gender-place,name,time,diff
,3394,"Udd, Oskar (SWE)",00:38:35,+26:34
,3395,"Lönnemark, Johan (SWE)",00:38:35,+26:34
,3396,"Hagen, Jan Helge (NOR)",00:38:36,+26:35
,3397,"Kaiser, Joakim (SWE)",00:38:36,+26:35
,3398,"Lundquist, Dennis (SWE)",00:38:36,+26:35
,3399,"Höglund, Daniel (SWE)",00:38:37,+26:36
,3400,"Kozel, Adam (CZE)",00:38:37,+26:36
,3401,"Holicek, Josef (CZE)",00:38:38,+26:37
,3402,"von Haugwitz, Viktor (SWE)",00:38:38,+26:37
,3403,"Godin, Matias (SWE)",00:38:38,+26:37
,3404,"Lundqvist, Jacob (SWE)",00:38:39,+26:38
,3405,"Kopal, Josef (CZE)",00:38:39,+26:38
,3406,"Rønningen, Even (NOR)",00:38:39,+26:38
,3407,"Wernersson, Fredrik (SWE)",00:38:39,+26:38
,3408,"Gerdin, Linus Gustav (SWE)",00:38:40,+26:39
,3409,"Pilling, Thomas (GER)",00:38:40,+26:39
,3410,"Stenbäck, Johan (SWE)",00:38:40,+26:39
,3411,"Ponev, Martin (BUL)",00:38:40,+26:39
,3412,"Berge, Tore (NOR)",00:38:41,+26:40
,3413,"Eriksson, Andreas (SWE)",00:38:41,+26:40
,3414,"Olausson, Anders (SWE)",00:38:43,+26:42
,3415,"Brørs, Joar (NOR)",00:38:43,+26:42
,3416,"Parini, Filippo (ITA)",00:38:43,+26:42
,3417,"Johansson, Isak (SWE)",00:38:44,+26:43
,3418,"Lahti, Tommy (FIN)",00:38:44,+26:43
,3419,"Svensson, Wictor (SWE)",00:38:45,+26:44
,3420,"Bergman, Erik (SWE)",00:38:45,+26:44
,3421,"Scamuzzi, Roberto (ITA)",00:38:45,+26:44
,3422,"Hauerslev, Jan (DEN)",00:38:45,+26:44
,3423,"Prellner, Isak (SWE)",00:38:46,+26:45
,3424,"Sandström, Kaj (SWE)",00:38:46,+26:45
,3425,"Hagström, Roger (SWE)",00:38:46,+26:45
,3426,"Åsgärde, Marcus (SWE)",00:38:47,+26:46
,3427,"Aguilar, David (SWE)",00:38:47,+26:46
,3428,"Lorenzen, Kasper (DEN)",00:38:48,+26:47
,3429,"Øygard, Tore (NOR)",00:38:48,+26:47
,3430,"Andersson, Dan (SWE)",00:38:49,+26:48
,3431,"Sjögren, Andreas (SWE)",00:38:49,+26:48
,3432,"Boman, Anton (SWE)",00:38:49,+26:48
,3433,"Kevin, Magnus (FIN)",00:38:49,+26:48
,3434,"Hemgård, Viktor (SWE)",00:38:50,+26:49
,3435,"Wahlberg, Jonas (SWE)",00:38:50,+26:49
,3436,"Medelid, Joel (SWE)",00:38:51,+26:50
,3437,"Eggebrecht, Harald (GER)",00:38:51,+26:50
,3438,"Ellström, Magnus (SWE)",00:38:51,+26:50
,3439,"Adolphson, Simon (SWE)",00:38:51,+26:50
,3440,"Lindström, Markus (SWE)",00:38:52,+26:51
,3441,"Paulson, Anton Halldór (DEN)",00:38:52,+26:51
,3442,"Karlsson, Jonny (FIN)",00:38:52,+26:51
,3443,"Börjes Liljesvan, Max (SWE)",00:38:52,+26:51
,3444,"Pedersen, Thoralf (NOR)",00:38:53,+26:52
,3445,"Hurtig, Tomas (SWE)",00:38:53,+26:52
,3446,"Andersson, Anders (SWE)",00:38:54,+26:53
,3447,"Jacobsson, Martin (SWE)",00:38:54,+26:53
,3448,"Spik, Torbjörn (SWE)",00:38:54,+26:53
,3449,"Nemec, Jan (CZE)",00:38:55,+26:54
,3450,"Andersson, Torbjörn (SWE)",00:38:55,+26:54
,3451,"Bartnes, Inge (NOR)",00:38:55,+26:54
,3452,"Stöt, Anders (SWE)",00:38:55,+26:54
,3453,"Nilsson, Lars Olof (SWE)",00:38:56,+26:55
,3454,"Vedvik, Helge (NOR)",00:38:56,+26:55
,3455,"Vesely, Michal (CZE)",00:38:56,+26:55
,3456,"Kolstad, Rune (NOR)",00:38:56,+26:55
,3457,"Widmark, Mattias (SWE)",00:38:56,+26:55
,3458,"Lundgren, Thomas (SWE)",00:38:57,+26:56
,3459,"Juslin, Matias (FIN)",00:38:58,+26:57
,3460,"Ofrim, Runar (NOR)",00:38:59,+26:58
,3461,"Maryška, Ondrej (CZE)",00:38:59,+26:58
,3462,"Laudon, Nils Petter (SWE)",00:38:59,+26:58
,3463,"Magnusson, Jan-Peter (SWE)",00:39:00,+26:59
,3464,"Wedman, Svante (SWE)",00:39:00,+26:59
,3465,"Eggert, Anders (SWE)",00:39:00,+26:59
,3466,"Lindgren, Kent (SWE)",00:39:00,+26:59
,3467,"Thiel, Frank (GER)",00:39:02,+27:01
,3468,"Stegemann, Mats (SWE)",00:39:02,+27:01
,3469,"Asplund, Jonny (FIN)",00:39:02,+27:01
,3470,"Klanglund, Rickard (SWE)",00:39:02,+27:01
,3471,"Fehling, Wilhelm (SWE)",00:39:02,+27:01
,3472,"Levén, Jakob (SWE)",00:39:03,+27:02
,3473,"Högberg, Daniel (SWE)",00:39:03,+27:02
,3474,"Jennings, Joakim (SWE)",00:39:03,+27:02
,3475,"Unger, Steffen (GER)",00:39:03,+27:02
,3476,"Hasselblad, Harald (SWE)",00:39:04,+27:03
,3477,"Jansson, Fredric (SWE)",00:39:04,+27:03
,3478,"Bengtsson, Christer (SWE)",00:39:04,+27:03
,3479,"Rundström, Morgan (SWE)",00:39:05,+27:04
